End_Station Id,End_Station_Name,End_Latitude,End_Longitude
,,40.724177,-74.050656
JC024,Pershing Field,40.742677,-74.051789
,,40.74267714,-74.05178863
,,40.74267714,-74.05178863
JC027,Jersey & 6th St,40.725289,-74.045572
,,40.72528911,-74.04557169
,,40.72528911,-74.04557168
JC032,Newark Ave,40.721525,-74.046305
,,40.72152515,-74.04630454
,,,-74.04630454
JC034,Christ Hospital,40.73478582,-74.05044364
,,40.73478582,-74.05044364
,,40.734786,-74.050444
JC035,Van Vorst Park,40.71848892,-74.04772663
,,,-74.04772663
,,40.718489,-74.047727
JC038,Essex Light Rail,40.712774,-74.036486
,,40.7127742,-74.0364857
JC051,Union St,40.718211,-74.083639
,,40.7182113,-74.0836394
JC052,Liberty Light Rail,40.711242,-74.055701
,,40.7112423,-74.0557013
JC053,Lincoln Park,40.724605,-74.078406
,,40.7246051,-74.07840595
,,40.7246051,-74.07840595
JC055,McGinley Square,40.72533993,-74.06762213
,,40.72533993,-74.06762213
,,40.72534,-74.067622
JC056,Sip Ave,40.730897,-74.063913
,,40.7308971,-74.06391263
JC057,Riverview Park,40.7443187,-74.0439909
,,40.744319,-74.043991
JC059,Heights Elevator,40.74871595,-74.0404433
,,40.74871595,-74.0404433
,,40.748716,-74.040443
JC063,Jackson Square,40.71113,-74.0789
JC065,Dey St,40.737711,-74.066921
JC066,Newport PATH,40.7272235,-74.0337589
,,40.727224,-74.033759
JC072,Morris Canal,40.71241882,-74.03852552
,,40.71241882,-74.03852552
,,40.712419,-74.038526
JC074,Jersey & 3rd,40.72333159,-74.04595256
,,40.72333159,-74.04595256
,,40.723332,-74.045953
JC075,Monmouth and 6th,40.725685,-74.04879
,,40.72568548,-74.04879034
,,40.72568548,-74.04879034
JC076,Dixon Mills,40.72163,-74.049968
,,40.72163014,-74.04996783
,,40.72163014,-74.04996783
JC077,Astor Place,40.719282,-74.071262
,,40.7192822,-74.07126188
,,40.7192822,-74.07126188
JC078,Lafayette Park,40.71346383,-74.06285852
,,40.71346383,-74.06285852
,,40.713464,-74.062859
JC080,Leonard Gordon Park,40.74590997,-74.05727148
,,40.74590997,-74.05727148
,,40.74591,-74.057271
JC081,Brunswick & 6th,40.72601173,-74.05038893
,,40.72601173,-74.05038893
,,40.726012,-74.050389
JC082,Manila & 1st,40.72165072,-74.04288411
,,40.72165073,-74.04288411
,,40.721651,-74.042884
JC084,Communipaw & Berry Lane,40.714358,-74.066611
,,40.71435837,-74.06661093
,,40.71435837,-74.06661093
JC093,Fairmount Ave,40.725726,-74.071959
,,40.72572614,-74.07195926
,,40.72572614,-74.07195926
JC094,Glenwood Ave,40.727551,-74.071061
,,40.72755147,-74.07106072
,,40.72755147,-74.07106072
JC095,Bergen Ave,40.72210379,-74.071455
,,40.72210379,-74.071455
,,40.722104,-74.071455
JC096,York St,40.71649,-74.04105
JC097,York St & Marin Blvd,40.716615,-74.042412
,,40.716615,-74.04241204
JC098,Washington St,40.724294,-74.035483
,,40.7242941,-74.0354826
JC099,Montgomery St,40.71942,-74.05099
JC102,Grand St,40.71517768,-74.03768331
,,40.71517768,-74.03768331
,,40.715178,-74.037683
JC103,Journal Square,40.73367,-74.0625
JC104,Harborside,40.7192517,-74.034234
,,40.719252,-74.034234
JC105,Hoboken Ave at Monmouth St,40.735208,-74.046964
,,40.73520838,-74.04696375
,,40.73520838,-74.04696375
JC106,Columbus Dr at Exchange Pl,40.71687,-74.03281
JC107,Grant Ave & MLK Dr,40.709198,-74.080843
,,40.70919832,-74.08084273
,,40.70919832,-74.08084273
JC108,Bergen Ave & Stegman St,40.706575,-74.086701
,,40.70657545,-74.08670068
,,40.70657545,-74.08670068
